P, A, etiqueta
“Tu autoestima es baja”, “Eres una persona que merece bendiciones y amor solo porque naciste”, 0
"Si no nos vemos a menudo, nos separaremos", "La relación a distancia será difícil", 0
"Dame un regalo hecho en casa", "Necesito demasiadas cosas", 0
“Qué necesito para vivir solo”, “Necesito demasiadas cosas”, 0
“Como si tuviera que cuidarme”, “Espero independizarme por completo”, 0
"¿Qué tal cultivar un pequeño árbol de flores?", "Será fácil de cultivar", 0
"¿Debería retirarme cuando me vaya bien?", "Intentar hasta el final", 0
“Te dije que lo hicieras bien, pero se puso más incómodo”, “A veces salen malos resultados si en parte lo incentivas”, 0
"¿Qué significa vivir bien?", "Vivir como uno mismo sin nombre ni oficio", 0
"Estoy viviendo bien","Estaré viviendo bien",0
"Quiero vivir bien", "Voy a vivir mejor que ahora", 0
"Estarás bien", "Estarás bien", 0
"Elige bien","Elige bien",0
"Cómo descansar bien","No hacer nada",0
"¿Cómo estás?", Gracias por preguntar cómo estoy", 0
“Lo he soportado bien, pero quiero fumar”, “Ese es el momento crítico, trata de tener paciencia”, 0
"¿Puedes hacerlo bien?", "Claro, no te preocupes", 0
"Me preocupa si puedo hacerlo bien","Claro, no te preocupes",0
"Todo estará bien","Todo estará bien",0
"Buenas noches","Buenas noches",0
"Hay tantos errores", "Las manos no siguen a tu corazón", 0
“Me apuñalan aunque no hice nada malo”, “Yo también lo hago a veces”, 0
"Algo hice mal", "Las circunstancias lo hicieron así", 0
"Duerme bien","Sueña conmigo",0
"No sé en qué soy bueno","Encuéntralo bien",0
"¿En qué eres bueno?", "Puede haber uno, así que esfuérzate por encontrarlo", 0
"No creo que sea bueno en nada", "Me hablas bien", 0
"Sería bueno si fuera un trabajo en el que fuera bueno","Cierra los ojos y piensa con cuidado",0
"No hay nada que hacer bien", "Mira bien", 0
"Siento que no soy bueno en nada", "Tal vez aún no he encontrado algo en lo que soy bueno", 0
"Lo podré hacer mejor", "Lo podré hacer mejor de lo que soy ahora", 0
"Me voy a dormir","Vete a dormir",0
"Ven a dormir","Despierta y anímate",0
"Debo haber dormido mal","Debo estar tieso",0
"Iba a tomarme un descanso, pero ha pasado un tiempo", "Nada sale según lo planeado", 0
"Acabo de dormir","Es hora de despertar",0
"El buceo es mi hobby","Otras personas se van a frustrar",0
“Iba a tomarme un pequeño descanso, pero se alargó”, “Nada sale como lo planeé”, 0
"No podía dormir, así que tengo mucho sueño", "Dormir es muy importante. Cierra los ojos", 0
“Es difícil porque no podía dormir”, “El sueño es muy importante. Cierra los ojos”, 0
"¿Dormí mal?", "Debo estar adolorido", 0
"Sigo quedándome dormido", "Acuéstate temprano", 0
"Tengo demasiado sueño","Vete a la cama temprano",0
"No puedo dormir de nuevo","Debo estar preocupado",0
"No puedo dormir","Cuenta las ovejas",0
"Tengo tiempo para charlas", "Claro, di cualquier cosa", 0
"Puedes hacer una pequeña charla","Claro, di cualquier cosa",0
“Fui al supermercado, todo está caro”, “El precio está muy caro”, 0
“Fui al supermercado y está desordenado”, “El precio es muy caro”, 0
"Espero que no tengas un concurso de talentos","Di no",0
"¿Por qué tienes un programa de talentos?", "Di no", 0
"Es gracioso","Parece divertido",0
"Travieso","Parece divertido",0
“Me gusta porque es una broma”, “Parece divertido”, 0
"No tengo esperanza para el futuro", "Puedes crecer en cualquier lugar", 0
"¿Debo comprar una secadora en época de lluvias?", "Dicen que es conveniente tener una", 0
"¿Es posible recibir una beca?", "Si trabajo duro, podré recibirla", 0
"Quiero recibir una beca", "Estudia mucho y aplica", 0
"Hay que ser fuerte para conseguir una beca", "Estudia mucho y aplica", 0
"¿Puedo conseguir una beca?", "La conseguiré si me esfuerzo", 0
"Un día aburrido","Sé agradecido por un día así",0
"No es divertido","Parece que necesitas un cambio",0
"No tiene gracia","Hablemos hasta reírnos",0
"No es más que diversión", "Conocer a una persona animada puede hacerte cambiar de opinión", 0
"Se acabó el drama divertido","Encuentra algo más interesante",0
"Diviértete","Mírate en el espejo",0
"No hay nada divertido", "Ahí estoy", 0
"No hay nada divertido", "Estoy aquí", 0
"¿Hay algo divertido?", "Pídele mermelada a Strawberry Jam", 0
"Sé hacer cosas divertidas", "Pídele mermelada a Strawberry Jam", 0
"Haz algo divertido", "¿Alguna vez has intentado jugar con tu cara mientras te miras en el espejo? Es sorprendentemente divertido", 0
"Nada interesante", "Parece que necesitas un cambio", 0
"Es divertido", "Yo también estoy feliz", 0
"Creo que voy a estornudar, pero no lo hago","Me hace cosquillas en la nariz",0
"Estoy estornudando","Me debe estar haciendo cosquillas en la nariz",0
"¿Volveré a encontrar trabajo?", "Lo conseguiré", 0
"Es difícil trabajar desde casa","Es trabajo de todos modos",0
"Creo que trabajar desde casa es más difícil", "Es trabajo de todos modos", 0
"Cómo invertir","Lea libros relacionados primero",0
"Dime cómo invertir","Leer libros relacionados primero",0
“¿Por qué esa persona me sigue mirando”, “Tal vez me enamoré de ti”, 0
"Por favor, hazme sonreír", "Párate frente al espejo ahora mismo", 0
"¿Debo romper la alcancía?", "Donde es absolutamente necesario", 0
"¿Robo la alcancía?", "Donde sea absolutamente necesario", 0
"Allá", "Estoy haciendo otra cosa", 0
"Qué comer para la cena", "Intenta desenterrar el refrigerador", 0
"Elige algo para cenar","Come algo rico",0
"Recomienda un menú de cena","Come algo delicioso",0
"Que cenar", "Come algo rico", 0
"Tengo que preparar la cena","Come algo rico",0
"¿Qué vas a cenar?", "Come algo rico", 0
"¿Qué cenamos?", "Intenta desenterrar el refrigerador", 0
"Tengo que cenar", "Comer algo rico", 0
"El bajo es genial", "Tu voz es baja", 0
“Te maldigo”, “Si tienes mala mente, también me hace daño”, 0
“Debo pagar más ahorros”, “Puedo hacerlo si ahorro dinero”, 0
"¿Debo pagar un ahorro a plazos?", "Es mejor pagar un ahorro a plazos si puedo", 0
"¿Debo tener una cuenta de ahorro a plazos?", "Sería mejor si pudiera tener una cuenta de ahorro a plazos", 0
"Escuché ahorro","Es increíble",0
"Escuché la venta especial para ahorro en cuotas","Es increíble",0
"¿Debo darme de alta en otra cuenta de ahorro a plazos?", "Si ahorro puedo hacerlo", 0
"Hazlo con moderación","La gente no conoce el medio",0
"No conozco la moderación","La gente no conoce la moderación",0
"No me puedo adaptar","Nadie lo hace bien desde el principio",0
"Conocí a mi ex","No olvides que eres un extraño",0
"Parece que no puedo salvar mi carrera", "Incluso si no puedo vivir, sigo viviendo", 0
"¿Puedo conseguir un trabajo con mi carrera?", "Aunque no pueda vivir, vivo", 0
"No es divertido en las clases principales", "Debe estar interesado en otros lugares", 0
“Las clases de tu carrera no son divertidas”, “Parece que te interesan otras cosas”, 0
"Debo haberme equivocado de carrera","Distinguir entre lo que me conviene y lo que no",0
"Solo quiero escuchar tu carrera", "Debes estar interesado en tu carrera", 0
"Quiero ir a la escuela y divertirme después de la transferencia", "Podré hacerlo lo suficientemente bien", 0
"Podré hacerlo bien incluso si me transfiero", "Podré hacerlo lo suficientemente bien", 0
“Tengo antecedentes penales”, “Necesito acostumbrarme”, 0
"Se fue la luz","Espera un poco y se vuelve a encender",0
"No hay luz", "Mira a ver si se cayó el viejo", 0
“De repente se fue la luz”, “Mira a ver si se cayó la casa del viejo”, 0
"Estoy durmiendo en una manta eléctrica", "Espero que tengas un invierno cálido", 0
"Que tengas un invierno cálido con una manta eléctrica","Espero que tengas un invierno cálido",0
"Quiero ver a mi ex", "El mundo es ancho y hay mucha gente", 0
"Sigo pensando en mi ex", "El mundo es ancho y hay mucha gente", 0
"Quiero contactar a mi ex", "No seas empapado", 0
"Todo parece un camino espinoso", "Espero que solo camines por senderos floridos", 0
"¿Sabes todo?", "No puedo saberlo todo", 0
"Firmé un contrato de charter","Hiciste un buen trabajo",0
"De repente subió el alquiler, ¿qué debo hacer?", "Por favor explique bien la situación", 0
"¿Qué debo hacer para subir la renta?", "Por favor explique bien la situación", 0
"Encontré una casa fletada","Hiciste un buen trabajo",0
"Conocí a mi ex, ¿debo fingir que no lo sé?", "Ahora no olvides que eres un extraño", 0
"Quiero ver a mi ex", "Ya soy un hombre", 0
“Quiero contactar a mi ex”, “Si lo hago, me recordarán como una persona asquerosa”, 0
"¿Cuándo esperas a que te den el alta?", "El reloj militar no se detiene", 0
"Me preocupa transferir", "No te preocupes, estarás bien", 0
"Tengo que cambiar de escuela","Tengo que adaptarme a una nueva escuela",0
"Estoy seguro de que incluso un estudiante de transferencia puede hacerlo bien", "No te preocupes, estarás bien", 0
"¿Puedo llamarte?", "Llámame", 0
"No vuelvo a contestar el teléfono", "Estoy preocupado porque perdí el contacto", 0
"No puedo llamar","Al principio es difícil",0
"¿Por qué no contestas el teléfono?", "Debo estar ocupado", 0
“No estoy contestando el teléfono”, “Estoy preocupado porque perdí el contacto”, 0
“Me pongo nervioso porque no contesto el teléfono”, “Debo estar ocupado”, 0
"Llámame","Debe haber una llamada en espera",0
"¿Por qué no contestas el teléfono?", "Debes estar ocupado", 0
"¿Por qué no sale el teléfono?", "Debe haber una llamada en espera", 0
"¿Por qué llevas el teléfono y no contestas?", "Debo estar preocupado porque perdí el contacto", 0
"No contesto mucho el teléfono","Llámame de nuevo",0
"¿Por qué no contestas el teléfono realmente?", "Debes estar ocupado", 0
“No contesto el teléfono seguido”, “Estoy preocupado porque estoy fuera de contacto”, 0
"Si suena el teléfono","Debe haber un teléfono esperando",0
"¿Es demasiado tarde para llamar?", "Es de mala educación llamar tarde", 0
"Es muy tarde para llamar, pero quiero llamar","Es de mala educación llamar tarde",0
"Es difícil llamar","Es difícil al principio",0
"No tengo a quien llamar","Llamar a mi familia",0
"¿Llamo o no?", "Llámame", 0
"¿Puedo llamarte?", "Llámame", 0
"Debería llamar", "Llámame", 0
"Absolutamente injusto","La razón por la que nacemos diferentes es para tener nuestra propia voz. Por favor, escucha tu voz",0
"Estoy desesperado","No te desanimes",0
"Tengo que ahorrar dinero y hacerme rico", "Lucha contra el rico por adelantado", 0
“Hay que ahorrar dinero para vivir bien”, “Luchar por los ricos de antemano”, 0
"Quiero conocer a mi mejor amigo","Por favor sean educados y considerados el uno con el otro",0
"Mi mejor amiga fingió no saber hoy","Hola",0
"Es mi mejor amigo, pero no estoy seguro","Hola",0
"Quiero vivir joven", "Vivir joven de corazón", 0
"Quiero ser joven","Vive un corazón joven",0
"¿Vamos a la adivinación?", "Es lindo ver por diversión", 0
"¿Debo restar un punto?","Sería genial si lo resto",0
"Quiero ir a restar puntos","Será genial si resto",0
"Es molesto llevar el almuerzo", "Cuida tu salud", 0
"Debería ir al banco a almorzar", "Debo tener algo que hacer", 0
"Deberías almorzar","Espero que la pases bien",0
“Es difícil elegir el menú del día”, “Depende de con quién comes”, 0
"Elige algo para almorzar","Depende de con quién vayas a comer",0
"La hora del almuerzo es demasiado corta", "La hora de trabajo es larga", 0
“Debes estar pendiente de salir a la hora de comer”, “No se respeta tu privacidad”, 0
"¿No puedo salir a la hora del almuerzo?", "Supongo que no se respeta mi privacidad", 0
"Debería ir al banco a la hora del almuerzo","Debo tener algo que hacer",0
“Solo quiero descansar durante la hora del almuerzo”, “Deberías comer algo rico y tomar un pequeño descanso”, 0
“Quiero descansar en paz, incluso a la hora del almuerzo”, “Deberías comer algo rico y tomar un pequeño descanso”, 0
"Veamos un punto", "Es lindo verlo por diversión", 0
“Cada vez es más difícil”, “No intentes descargar tu ira conmigo”, 0
"Cada vez estoy mejor", "No soy mi tipo ideal, pero hay alguien que me gusta", 0
“Cada vez me parezco más a ti”, “Supongo que te voy a ver”, 0
"Trabajo tiempo completo Gazua","Encontrarás una buena compañía",0
"Los puestos de tiempo completo son demasiado pequeños","Es pequeño",0
"¿Puedo conseguir un trabajo de tiempo completo?", "Podré encontrarme con una buena compañía", 0
“Es muy difícil conseguir un trabajo de tiempo completo”, “Es un poco”, 0
“Quiero un trabajo de tiempo completo”, “Pronto podré hacerlo”, 0
"¿Cuál es la respuesta correcta?", "La respuesta siempre está dentro de mí", 0
"Debería ir a Jeongdongjin y tomar un poco de aire fresco", "Pasarla bien", 0
"No se puede organizar","Tómalo paso a paso",0
"No me puedo organizar","Hazlo paso a paso",0
"El olor de la coronilla", "Por favor, lávate el pelo", 0
"No huele como la coronilla", "Lávate el pelo", 0
“Voy a casa del trabajo a tiempo”, “Recuperarás fuerzas después de descansar. Come algo rico”, 0
"No puedo volver a mis sentidos", "Tu vida es demasiado preciosa para vivir mientras te enfocas en la vida de los demás", 0
“Cuanto más agitado estés, más tranquilo debes estar”, “Respira hondo”, 0
“Me da demasiado estrés mental. Cómo trato con este tipo de personas”, “No digas nada y calla”, 0
"¿Dónde se ha ido tu mente?", "Tranquilízate", 0
"Quiero volver a mis sentidos", "Tu vida es demasiado preciosa para vivir mientras te enfocas en la vida de los demás", 0
“Dime que me despierte”, “Enfócate en ti, ponte siempre primero”, 0
"Debería comprarme un traje","Sería útil si me compro uno",0
"Creo que necesitaré un traje", "Creo que comprarlo sería útil", 0
"¿Qué debo hacer con mi segundo idioma extranjero?", "Creo que es bueno tener un idioma que no aprendo bien en estos días", 0
"¿Qué segundo idioma extranjero debo elegir?", "Creo que es bueno tener un idioma que no aprendo bien en estos días", 0
"No tengo niveladora","Tampoco tengo",0
"Valóralo bien","No estoy en condiciones de hacer eso",0
"Si los ritos ancestrales se han ido", "Piensa en el buen sentido", 0
"Haces demasiados sacrificios","Piensa en un buen sentido",0
"Necesito un deshumidificador","Yo tampoco tengo",0
"Como si estuviera caminando en el lugar", "No tengas miedo de que no haya progreso", 0
"Quiero ir a la isla de Jeju","Llévame a mí también",0
"Quiero ir a la isla de Jeju","Reserva un billete de avión ahora",0
"¿Debería ir a vivir a la isla de Jeju","Es un lugar hermoso",0
"Quiero ir a la isla de Jeju","Por favor, llévame a mí también",0
"Quiero ir a la playa en la isla de Jeju","Reserva un billete de avión ahora",0
"Debería ir a Jeju-do","Viajar es bueno",0
“Debe ser difícil estudiar con un asistente”, “Te ves bien cuando trabajas duro”, 0
"¿Debo estudiar mientras soy asistente de enseñanza?", "Te ves bien cuando trabajas duro", 0
“Quiero que esperes un poco”, “No le des una carga muy pesada a la otra persona”, 0
"Impaciente y nervioso","Si te sientes impaciente, es más probable que sigas dándote la mano",0
"Me gusta la iluminación","Se ve muy bien",0
"¿Está encendido","Se ve muy bien",0
"¿Por qué hay tantos grupos?", "El trabajo en equipo es más importante estos días", 0
"No me gusta presentar asignaciones grupales", "Por favor, haga un buen trabajo de división de roles", 0
“¿Por qué hay tantas presentaciones grupales”, “El trabajo en equipo es más importante estos días”,0
"No quiero hacer presentaciones grupales", "Por favor, haga un buen trabajo de división de roles", 0
"Cuidado","La seguridad es primordial",0
"Hay mucho de lo que cuidarse","Es un mundo aterrador",0
"Quiero estar tranquilo","¿Puedo salir?",0
"¿Puedo pasar tranquilo?", "Creo que depende de lo que esté pasando", 0
"¿Pasamos tranquilos?", "Supongo que depende de lo que esté pasando", 0
"Es difícil elegir un regalo para mi sobrino","Solo pregunta",0
“Qué le compro a mi sobrino”, “Pídeme un poco”, 0
"Odio venir a mi sobrino","No abras la puerta",0
"Un regalo para la entrada de mi sobrino","Que tal un bolso",0
"¿Qué le compras de regalo de entrada a tu sobrino?", "Qué tal un bolso", 0
"Mis sobrinas y sobrinos me molestan","No abras la puerta",0
"Tengo sueño","Vete a la cama temprano hoy",0
"Tengo sueño, pero no puedo dormir", "Parece que tienes muchas preocupaciones", 0
"Tengo sueño, pero no puedo dormir", "Parece que tienes muchas preocupaciones", 0
"Se arruinó la foto de la graduación", "Espero que sea natural aunque esté arruinada",0
“No tomé una buena foto de graduación”, “Espero que se vea natural aunque falle”, 0
"¿Cuál sería un buen regalo de graduación","Solo pregunta",0
"Regalo de graduación recomendado","Solo pregunta",0
"Debería ir a la ceremonia de graduación","Felicidades",0
"Puedo ir a la ceremonia de graduación","Por favor, ve a la ceremonia de graduación y celebra",0
"¿Puedo ir a la ceremonia de graduación?", "Por favor, ve a la ceremonia de graduación y felicítame", 0
"Es graduación","Felicidades",0
“Quiero acercarme”, “Abre más tu corazón”, 0
"Vamos a ponernos en forma","Quiero vivir mucho tiempo",0
"Creo que debería tomarme un descanso y criar a mi bebé","Pareces estar trabajando en un lugar agradable",0
"Me corto la mano con papel","Desinfectar y aplicar medicina",0
"Es agradable, pero molesto","Tienes que superar tu pereza",0
"Tengo ganas de morir", "Es lindo porque te gusta", 0
"No sé lo que me gusta","Experimentar varias cosas",0
"Ojalá pudiera estar en la misma clase que la chica que me gusta","Confía en tu suerte",0
“Cómo mantener una buena relación”, “Es una relación que tiene una buena influencia en el otro”, 0
"Qué es una buena relación", "Una relación que tiene una buena influencia en el otro", 0
"Tengo envidia de estar en una buena universidad","Rellenar otras habilidades",0
"Envidio a las personas que se graduaron de buenas universidades","Rellenar otras habilidades",0
"¿A dónde se ha ido toda la gente buena?", "Solo necesito ir a conocerlos", 0
"Buenos días","Buenos días",0
"No hay puntos buenos","Habrá cositas",0
"Estoy frustrado","Es hora de despertar",0
“También debes tirar las cartas que enviaste y recibes”, “Debes tirar lo que tengas que tirar”, 0
“No puedo hablar porque me intimida”, “Creo que no es nada”, 0
"Estoy bebiendo mucho, ¿puedo ser honesto?", "Será mejor que hables menos".,0
"¿El alcohol fuerte es bueno?", "No se debe beber mucho porque es fuerte", 0
"Las arrugas también son bonitas","Es un bonito anillo de edad",0
"Una persona con lindas arrugas","Ese es un lindo anillo de edad",0
"Se ve arrugado","Es un anillo hermoso",0
“Las arrugas aparecen poco a poco”, “Es bonito aunque las haya”, 0
"Recomendado para jugar el fin de semana","Juega conmigo",0
"Quiero dormir hasta tarde el fin de semana y charlar mientras desayuno", "Es un fin de semana perfecto", 0
"Debería tener una cita el fin de semana","Espero que tengas un buen fin de semana",0
"¿Qué hacemos el fin de semana?", "Juega conmigo", 0
"Me voy a esquiar el fin de semana","Me emociono",0
“Vienes mucho al gimnasio los fines de semana”, “Sería lindo hacer ejercicio juntos”, 0
"Hay mucha gente en el gimnasio el fin de semana", "Sería bueno hacer ejercicio juntos", 0
"Stock jackpot man","Es solo un momento para ir a la quiebra con las acciones",0
"Las acciones están condenadas","Hay poca gente que gane dinero con acciones",0
"Gané mucho dinero con las acciones","Es solo un momento para ir a la quiebra con las acciones",0
"Las acciones han bajado","Hay pocas personas que ganan dinero con las acciones",0
"Dije algo que no pude contener", "Me arrepentiré para siempre", 0
"Creo que hice algo sobre el tema", "La felicidad es cuando no sabes el tema", 0
"No hay espacio en el estacionamiento", "Una vuelta más y aparecerá", 0
"El estacionamiento está lleno","Una vuelta más y aparecerá",0
"Me rasqué mientras estacionaba", "Me duele", 0
"Estoy molesto porque no hay dónde estacionar", "Voy a dar la vuelta una vez más y aparecerá", 0
"Date de alta en el abono de vivienda","Has dado el primer paso para adquirir tu propia vivienda",0
"Iniciar abono vivienda","Has dado el primer paso para adquirir tu propia vivienda",0
“Escuché el abono de vivienda”, “Estoy un paso más cerca de mi casa”,0
"Se acabó la práctica de conducción","Conduce con seguridad",0
"Quiero morir", "Te valoro", 0
"Nadie sabrá aunque muera","No pienses mal",0
"Quiero estar contigo hasta que me muera","Proponer",0
"Tengo a alguien con quien quiero estar hasta el día que me muera","Proponer",0
"Quiero morir","Quiero vivir mucho tiempo",0
"Creo que la fila será larga","Tómate un café y espera",0
“Estoy preocupada por mi hijo de dos años”, “Creo que está en la pubertad”, 0
"Sé histeria en secundaria 2","Es un momento difícil",0
"2do grado","Es un momento dificil",0
"Escuché que era la enfermedad de la escuela secundaria 2, así que no podía creer que estaba realmente molesto", "Creo que es la pubertad", 0
“Creo que estoy en la secundaria”, “Es un momento difícil”, 0
"No hay término medio", "Hasta eso debe ser atractivo", 0
"Hice una transacción usada","Gastaste una buena cantidad de dinero",0
"Creo que hice un buen trabajo comprándolo usado","Hiciste una buena elección",0
“Lo compré de segunda mano”, “Te gastaste mucho dinero”, 0
"Parece una buena compra usada","Hiciste una buena elección",0
"Puede que me asignen a China", "Podré adaptarme y hacerlo mejor en un nuevo lugar", 0
"Tal vez tenga que hacer un viaje de negocios a China","Me adaptaré y lo haré mejor en mi nuevo lugar",0
"¿Debo estudiar chino?", "Será útil más adelante",0
"¿Debo ir a una academia para aprender chino?", "Puedo hacerlo solo o ir a una academia", 0
"Sería bueno tener chino","Sería bueno tener chino",0
"¿Debo ir a una academia de chino?", "Puedo hacerlo solo o ir a una academia", 0
“¿Es posible estudiar chino solo”, “Es bueno hacerlo solo o ir a academias privadas”, 0
"¿Avanzamos en China?", "Saber más",0
"Sería mejor si tuviera chino","Sería bueno si tuviera chino",0
"¿Debería conseguir un trabajo incluso en una empresa pequeña?", "El trabajo en sí mismo es importante",0
"¿Debería simplemente conseguir un trabajo en una pequeña empresa?", "El trabajo en sí es importante", 0
"Esperando un anuncio importante","Buena suerte",0
"Quiero disfrutar la vida","Disfrutar el presente y vivir feliz",0
"No hay evidencia, pero solo sospecho", "Mira hacia atrás en tu comportamiento habitual", 0
"Ji dijo que era una víctima","Claramente es un error",0
"Se me olvidó la cartera","Rentala de otra clase",0
"¿Debo cambiar mi billetera?", "Cámbiala por una nueva", 0
"No traje mi billetera", "Intenta tomarla prestada de otra clase", 0
"Falta mi billetera","Mira con cuidado",0
"Perdí mi billetera","Encuéntrala con cuidado",0
"Solo estás bromeando","Espero que no",0
"Lo que tengo que hacer ahora", "Dale una palmada a un moretón", 0
"¿Es posible trabajar duro ahora?", "Lo importante es el proceso de trabajar duro", 0
“Si me voy a dormir ahora, no podré dormir por la noche”, “Solo duermo una siesta de 20 minutos”, 0
"No puedo dormir por la noche si me voy a dormir ahora, pero tengo sueño", "Siesta solo de 20 minutos", 0
"Estoy feliz ahora", "Disfruta el presente", 0
"Siento que he estado trabajando todo este tiempo", "Vive tu propia vida", 0
"¿Debo estudiar chino ahora mismo?", "Me ayudará más tarde", 0
"Odio perder","A veces pierdo ya veces gano",0
"Odio perder","No te estreses por perder",0
"A nadie le gusta perder","No te estreses por perder",0
"Realmente odio perder","A veces pierdo ya veces gano",0
"No tengo amigos en el campo","Hacer amigos",0
“Me preocupan los terremotos”, “Corea también es peligrosa. Sepa cómo evacuar en caso de terremoto”, 0
"Terremoto no pasará","Corea tampoco es segura. Sepa cómo evacuar en caso de terremoto",0
"Qué hacer en caso de terremoto","Corea también es peligrosa. Sepa cómo evacuar en caso de terremoto",0
"Qué hacer en caso de terremoto","Ni siquiera Corea es segura. Sepa cómo evacuar en caso de terremoto",0
"No hay espacio para pisar el metro", "Paseo por delante o por detrás", 0
"Hay demasiada gente en el metro", "Pasa por delante o por detrás", 0
"No hay asientos en el metro","Hay días así",0
"Debería decirte que encontré a una persona realmente genial en el metro", "Este es un momento que requiere coraje", 0
"Vi a un chico lindo en el metro, hablemos", "Es un momento que requiere coraje", 0
"Te saldrá más barato si lo compras directamente","Te compro uno bueno",0
"Debería comprarlo directamente","Debería comprar uno bueno",0
"No quiero ir a trabajar","Debo estar bajo mucho estrés en el trabajo",0
“Empecé la vida laboral”, “Al principio será difícil, pero poco a poco me iré adaptando”,0
"Haz que solo yo trabaje en el trabajo","Debe ser estresante en el trabajo",0
"Estoy tan acosado en el trabajo","Debe ser estresante en el trabajo",0
"Fui acosado en el trabajo","Debo estar bajo mucho estrés en el trabajo",0
"Mi jefe me acosa en el trabajo","Hay alguna razón",0
"Estoy siendo intimidado en el trabajo", "Debe ser estresante en el trabajo", 0
"Me siguen regañando en el trabajo, ¿debo renunciar?", "Arreglar lo que hay que arreglar y aguantar un poco más", 0
“Me siento un blanco para sacar mi ira en el trabajo. ¿Debería dejarlo?”, “Arreglar lo que hay que arreglar y aguantar un poco más”,0
"No creo que tenga suerte laboral","Piensa en cambiar de trabajo",0
"El trabajo es doloroso","El trabajo debe ser estresante",0
“Creo que nunca me ha gustado mi trabajo”, “Piensa en cambiar de trabajo”, 0
"Los empleados también necesitan vacaciones","Está bien tomarse un descanso",0
"Me perdí la promoción","Definitivamente me ascenderán la próxima vez",0
“Soy el único que falta de la promoción”, “La oportunidad volverá”, 0
"Me perdí el ascenso","La oportunidad volverá a venir",0
"Quiero ascender","Puedo hacerlo si trabajo duro",0
“Creo que es hora de ascender”, “Si trabajas duro, puedes hacerlo”, 0
"Debería ser promovido","Puedo hacerlo si trabajo duro",0
"Una persona que bromea sobre ser serio", "Por favor, haz lo mismo", 0
“Lo que realmente se disfruta”, “Hay tantas cosas que hacer pero no hacerlas”,0
“Quiero ser quien realmente soy”, “Es difícil ser quien los demás quieren que sea”, 0
"Es demasiado", "Espero que funcione", 0
"Dicen cosas que en realidad no funcionan", "Hay todo tipo de personas en el mundo", 0
"Es realmente ridículo","Pasa mucho",0
"Realmente impotente", "Hay diferentes cosas que puedes hacer bien", 0
"Hay toda la gente realmente especial","Hay mucha gente realmente inusual",0
"Tienes que trabajar muy duro","Esa es una buena actitud",0
"Hay un todo real", "Perdona a tu pareja y encuentra una salida", 0
"Realmente es el límite ahora", "Cree en tu potencial", 0
"Deberías tener amigos de verdad","Uno es suficiente",0
"Tengo muchas ganas de hacer amigos", "Si te acercas a mí con sinceridad, podemos hacernos amigos", 0
"Siento que no tengo amigos de verdad", "Puede que me sienta triste cuando mis amigos se enteren", 0
"Día muy cansado","Que descanses",0
"Una taza de café fuerte","Es agradable de beber",0
“Es molesto tener que empacar”, “Tira lo que quieras tirar”, 0
"De camino a casa","Ten cuidado",0
"Quiero salir de casa y vivir solo","No es malo vivir solo",0
"Conocí al chico con el que salía después de llegar a casa","No me hagas caso porque soy un extraño",0
"Creo que la casa está arruinada","Trata de ayudar a la casa",0
"No quiero salir de casa", "Hoy solo salgo juntos", 0
"Quiero comprar una casa","Debe haber alguien con quien quiera vivir",0
"Me compré una casa","Felicidades por tu casa",0
"Acabo de comprar una casa","Felicidades por comprar mi propia casa",0
"Quiero decorar mi casa bellamente", "Decora tu propio espacio", 0
"Vendo mi casa","Espero que sea una buena decisión",0
"Estoy tratando de vender mi casa","Espero que sea una buena decisión",0
"No tengo adónde ir aunque salga de casa","Contactar al profesor o institución",0
"¿Debería salir de casa?", "No tomes decisiones imprudentes", 0
"La casa es molesta","Estará bien si no lo haces",0
"A quien invitas a la casa","Personas a las que quieres invitar",0
"Qué comprar para un regalo de inauguración","Pregunta lo que necesites",0
"¿Cuál es tu regalo de inauguración favorito","Pregunta lo que necesites",0
"Cómo hacer una inauguración de la casa","Busca una manera fácil de prepararla",0
"No quiero hacer una inauguración de la casa","Buscar una manera fácil de prepararlo",0
"Hacer una fiesta de inauguración", "Es como ser un propietario", 0
"Debería hacer una inauguración de la casa", "Me siento como un propietario si no lo hago", 0
"Inauguración de la casa y todo es molesto", "Estará bien si no lo haces", 0
"¿A quién sueles invitar a una fiesta de inauguración?", "Personas a las que quieres invitar", 0
"Demasiadas tareas", "Haz un poco todos los días", 0
"Tareas domésticas amontonadas","Hazlo uno por uno",0
"Las tareas del hogar son difíciles", "Iré mejorando poco a poco", 0
“Puedes hacer las tareas del hogar, pero no se acaba”, “Hazlo poco a poco”, 0
"Puedo hacer las tareas del hogar, pero no hay final", "Hacer un poco todos los días", 0
“No puedo hacer las tareas del hogar”, “Poco a poco mejoraré”, 0
"Demasiadas tareas", "Hazlo uno por uno", 0
"Las tareas del hogar nunca terminan","Hazlo poco a poco",0
"Reunión con mi ex frente a mi casa","No me hagas caso porque soy un extraño",0
"Vete a casa","Por favor, ven con cuidado",0
"Quiero comer P-Mac cuando vaya a casa","Está bien mirarlo",0
"No hay medicina para el resfriado en casa", "Ve al hospital", 0
"No hay nada para comer en casa","Solo hacer una nueva relación",0
"La casa tiene demasiado polvo","Haz una limpieza profunda",0
"Quiero irme rápido a casa","La casa es lo mejor",0
"Quiero irme temprano a casa","La casa es lo mejor",0
“Le voy a pedir a mis amigos que vuelvan a casa”, “Me lo voy a pasar bien después de mucho tiempo”, 0
